name,lat,lon,MGRS
"Hugo, MN, USA",45.159966,-92.99334,15TWL0052300720
"Yorba Linda, CA, USA",33.888504,-117.813255,11SMT2479850091
"Rapid City, SD, USA",44.080544,-103.231018,13TFJ4163582340
"Hillsboro, OR, USA",45.522896,-122.98983,10TER0079441040
"Elkhart, IN, USA",41.681992,-85.976669,16TEM8517114974
"Providence, RI, USA",41.825226,-71.418884,19TBG9911933200
"Rancho Cucamonga, CA, USA",34.110489,-117.594429,11SMT4517674566
"Orange, CA, USA",33.787914,-117.853104,11SMT2102138967
"Madison, WI, USA",43.073051,-89.40123,16TCN0450771725
"Yonkers, NY, USA",40.93121,-73.89875,18TWL9271331704
"Indio, CA, USA",33.720577,-116.215561,11SNT7267831451
"Jersey City, NJ, USA",40.719074,-74.050552,18TWL8018808005
"Bradenton, FL, USA",27.498928,-82.574821,17RLL4443742685
"South Burlington, VT, USA",44.466995,-73.170959,18TXQ4548725370
"Long Beach, CA, USA",33.77005,-118.193741,11SLT8946137300
"Greenville, NC, USA",35.612659,-77.366356,18STE8566843566
"Edison, NJ, USA",40.522964,-74.411674,18TWK4983485969
"Jonesboro, AR, USA",35.835575,-90.705025,15SYV0728668142
"Turrell, AR, USA",35.379807,-90.257874,15SYV4909318616
"Racine, WI, USA",42.722702,-87.784225,16TDN3579230320
"Las Cruces, NM, USA",32.346596,-106.78772,13SCR3176680258
"Alameda, CA, USA",37.765205,-122.241638,10SEG6679480035
"Walnut Creek, CA, USA",37.910076,-122.065186,10SEG8217596249
"Naples, FL, USA",26.177624,-81.806946,17RMJ1936295605
"Temecula, CA, USA",33.487007,-117.143784,11SMT8664205287
"Bozeman, MT, USA",45.676998,-111.042931,12TVR9665658161
"Eastlake, OH, USA",41.653934,-81.450394,17TMG6249711452
"Yakima, WA, USA",46.60207,-120.505898,10TFS9101563966
"Dunedin, FL, USA",28.018349,-82.764473,17RLM2652600490
"St Paul, MN, USA",44.949642,-93.093124,15TVK9265377360
"St. Augustine, FL, USA",29.901243,-81.312431,17RMP6983607883
"Kent, WA, USA",47.380932,-122.23484,10TET5775647780
"Dearborn Heights, MI, USA",42.336983,-83.273262,17TLG1272589694
"Chester, SC, USA",34.704929,-81.210251,17SMU8074540341
"Muskegon, MI, USA",43.224194,-86.235809,16TEN6206185995
"Hesperia, CA, USA",34.426388,-117.30088,11SMU7235309475
"Oakland, CA, USA",37.804363,-122.271111,10SEG6416484359
"Lancaster, CA, USA",34.686787,-118.15416,11SLU9427838915
"Homestead, FL, USA",25.468721,-80.477554,17RNJ5251816953
"Norfolk, VA, USA",36.850769,-76.285873,18SUF8536279089
"Santa Cruz, CA, USA",36.974117,-122.030792,10SEF8626692439
"Daly City, CA, USA",37.687923,-122.470207,10SEG4671171322
"Newport, RI, USA",41.490578,-71.310196,19TCF0715095794
"Santa Barbara, CA, USA",34.42083,-119.698189,11SKU5203012120
"Cheektowaga, NY, USA",42.902615,-78.744576,17TPH8412952468
"Eldorado Springs, CO, USA",39.932117,-105.281639,13SDE7593520260
"Twin Falls, Idaho, USA",42.562786,-114.460503,11TQH0845715390
"Huntington, WV, USA",38.413651,-82.446732,17SLC7369452702
"Decatur, IL, USA",39.842468,-88.953148,16SCK3289112098
"Beverly Hills, CA, USA",34.07362,-118.400352,11SLT7078771203
"Danbury, CT, USA",41.394966,-73.454079,18TXL2923783756
"Des Moines, Iowa, USA",41.619549,-93.598022,15TVG5017907709
"New Haven, CT, USA",41.308273,-72.927887,18TXL7345875050
"Fairbanks, AK, USA",64.835365,-147.776749,06WVS6314690332
"Nampa, Idaho, USA",43.565468,-116.560822,11TNJ3546623705
